DOW,$51.19
S&P,$381.40
DOW,$51.19
S&P,$381.40
DOW,$51.19
S&P,$381.40
DOW,$51.19
S&P,$383.44
DOW,$50.65
S&P,$382.43,Sat Dec 31 16:27:42 2022
DOW,$50.39,Sat Dec 31 16:27:42 2022
S&P,$382.43,Sat Dec 31 16:32:41 2022
DOW,$50.39,Sat Dec 31 16:32:41 2022
S&P,$382.43,Sat Dec 31 16:41:13 2022
DOW,$50.39,Sat Dec 31 16:41:13 2022
S&P,$382.43,Sat Dec 31 16:44:00 2022
DOW,$50.39,Sat Dec 31 16:44:00 2022
S&P,$382.43,Sat Dec 31 16:44:40 2022
DOW,$50.39,Sat Dec 31 16:44:40 2022
S&P,$382.43,Sat Dec 31 16:45:38 2022
DOW,$50.39,Sat Dec 31 16:45:38 2022
S&P,$382.43,Sat Dec 31 16:56:58 2022
DOW,$50.39,Sat Dec 31 16:56:58 2022
S&P,$382.43,Sat Dec 31 16:58:51 2022
DOW,$50.39,Sat Dec 31 16:58:51 2022
S&P,$388.08,Sun Jan  8 16:44:16 2023
DOW,$55.02,Sun Jan  8 16:44:16 2023
